run_name,run_dir,test_set,seed,budget_multiplier,n_tests,available_algorithms
base_exp1,results/baselines_bbob/base_exp1,final,42,20,480,"pso,de,gwo,sa"
smoke_base,results/baselines_bbob/smoke_base,final,42,20,480,pso
